3

v02 a00 v00
-127.0 0.0 0.0
-87.0 0.0 0.0
-297.0 0.0 0.0
-208.0 0.0 0.0
-144.0 0.0 0.0
-463.0 0.0 0.0
-199.0 0.0 0.0
-184.0 0.0 0.0
-54.0 0.0 0.0
-26.0 0.0 0.0
-86.0 0.0 0.0
-241.0 0.0 0.0
-20.0 0.0 0.0
-88.0 0.0 0.0
-99.0 0.0 0.0
-95.0 0.0 0.0
-111.0 0.0 0.0
-153.0 0.0 0.0
-310.0 0.0 0.0
-187.0 0.0 0.0
-563.0 0.0 0.0
-158.0 0.0 0.0
-374.0 0.0 0.0
-223.0 0.0 0.0
-196.0 0.0 0.0
-149.0 0.0 0.0
-177.0 0.0 0.0
-296.0 0.0 0.0
-187.0 0.0 0.0
-147.0 0.0 0.0
29.0 0.0 0.0
-548.0 0.0 0.0
-162.0 0.0 0.0
-188.0 0.0 0.0
-32.0 0.0 0.0
-28.0 0.0 0.0
-232.0 0.0 0.0
-273.0 0.0 0.0
-57.0 0.0 0.0
-359.0 0.0 0.0
20.0 0.0 0.0
-114.0 0.0 0.0
-38.0 0.0 0.0
-152.0 0.0 0.0
-122.0 0.0 0.0
0.0 0.0 0.0
-270.0 0.0 0.0
-101.0 0.0 0.0
-116.0 0.0 0.0
-52.0 0.0 0.0
-187.0 0.0 0.0
-505.0 0.0 0.0
-164.0 0.0 0.0
-39.0 0.0 0.0
-362.0 0.0 0.0
-86.0 0.0 0.0
-80.0 0.0 0.0
-26.0 0.0 0.0
-175.0 0.0 0.0
-183.0 0.0 0.0
-21.0 0.0 0.0
-327.0 0.0 0.0
-70.0 0.0 0.0
-114.0 0.0 0.0
-78.0 0.0 0.0
-217.0 0.0 0.0
-171.0 0.0 0.0
-57.0 0.0 0.0
-151.0 0.0 0.0
-77.0 0.0 0.0
-92.0 0.0 0.0
-278.0 0.0 0.0
-159.0 0.0 0.0
-195.0 0.0 0.0
-40.0 0.0 0.0
-41.0 0.0 0.0
-92.0 0.0 0.0
-156.0 0.0 0.0
-196.0 0.0 0.0
-74.0 0.0 0.0
-156.0 0.0 0.0
3.0 0.0 0.0
-113.0 0.0 0.0
-323.0 0.0 0.0
-268.0 0.0 0.0
-268.0 0.0 0.0
-140.0 0.0 0.0
-149.0 0.0 0.0
-221.0 0.0 0.0
-375.0 0.0 0.0
-110.0 0.0 0.0
-215.0 0.0 0.0
-489.0 0.0 0.0
-220.0 0.0 0.0
-82.0 0.0 0.0
-520.0 0.0 0.0
-125.0 0.0 0.0
21.0 0.0 0.0
-135.0 0.0 0.0
-104.0 0.0 0.0
-118.0 0.0 0.0
-90.0 0.0 0.0
-655.0 0.0 0.0
-63.0 0.0 0.0
-118.0 0.0 0.0
-161.0 0.0 0.0
-303.0 0.0 0.0
-261.0 0.0 0.0
-105.0 0.0 0.0
-126.0 0.0 0.0
-72.0 0.0 0.0
-123.0 0.0 0.0
-25.0 0.0 0.0
-57.0 0.0 0.0
-167.0 0.0 0.0
-49.0 0.0 0.0
-184.0 0.0 0.0
-113.0 0.0 0.0
-167.0 0.0 0.0
-493.0 0.0 0.0
-52.0 0.0 0.0
-551.0 0.0 0.0
-108.0 0.0 0.0
-304.0 0.0 0.0
-306.0 0.0 0.0
-286.0 0.0 0.0
-118.0 0.0 0.0
-117.0 0.0 0.0
-488.0 0.0 0.0
-170.0 0.0 0.0
-147.0 0.0 0.0
-395.0 0.0 0.0
-184.0 0.0 0.0
-238.0 0.0 0.0
-54.0 0.0 0.0
-378.0 0.0 0.0
-366.0 0.0 0.0
-140.0 0.0 0.0
-41.0 0.0 0.0
-159.0 0.0 0.0
-249.0 0.0 0.0
-45.0 0.0 0.0
-229.0 0.0 0.0
-114.0 0.0 0.0
-323.0 0.0 0.0
-76.0 0.0 0.0
-198.0 0.0 0.0
-9.0 0.0 0.0
-220.0 0.0 0.0
-82.0 0.0 0.0
-115.0 0.0 0.0
-50.0 0.0 0.0
-59.0 0.0 0.0
-342.0 0.0 0.0
-88.0 0.0 0.0
-306.0 0.0 0.0
-111.0 0.0 0.0
6.0 0.0 0.0
-331.0 0.0 0.0
-15.0 0.0 0.0
-248.0 0.0 0.0
-82.0 0.0 0.0
-87.0 0.0 0.0
-83.0 0.0 0.0
-221.0 0.0 0.0
-48.0 0.0 0.0
-407.0 0.0 0.0
-79.0 0.0 0.0
-655.0 0.0 0.0
-75.0 0.0 0.0
-79.0 0.0 0.0
-100.0 0.0 0.0
-71.0 0.0 0.0
-357.0 0.0 0.0
-208.0 0.0 0.0
-449.0 0.0 0.0
-91.0 0.0 0.0
-140.0 0.0 0.0
-118.0 0.0 0.0
-104.0 0.0 0.0
-162.0 0.0 0.0
-89.0 0.0 0.0
-134.0 0.0 0.0
-491.0 0.0 0.0
-168.0 0.0 0.0
-130.0 0.0 0.0
-224.0 0.0 0.0
-62.0 0.0 0.0
-112.0 0.0 0.0
-108.0 0.0 0.0
-124.0 0.0 0.0
-223.0 0.0 0.0
-209.0 0.0 0.0
-145.0 0.0 0.0
-373.0 0.0 0.0
-125.0 0.0 0.0
-78.0 0.0 0.0
-107.0 0.0 0.0
118.0 0.0 0.0
-217.0 0.0 0.0
-184.0 0.0 0.0
-210.0 0.0 0.0
-323.0 0.0 0.0
-93.0 0.0 0.0
-194.0 0.0 0.0
-156.0 0.0 0.0
-136.0 0.0 0.0
-175.0 0.0 0.0
-135.0 0.0 0.0
-193.0 0.0 0.0
-398.0 0.0 0.0
-92.0 0.0 0.0
-247.0 0.0 0.0
-142.0 0.0 0.0
-162.0 0.0 0.0
-152.0 0.0 0.0
-85.0 0.0 0.0
-103.0 0.0 0.0
-107.0 0.0 0.0
-38.0 0.0 0.0
-186.0 0.0 0.0
-147.0 0.0 0.0
-67.0 0.0 0.0
-24.0 0.0 0.0
-171.0 0.0 0.0
-71.0 0.0 0.0
-54.0 0.0 0.0
-220.0 0.0 0.0
-169.0 0.0 0.0
-74.0 0.0 0.0
-72.0 0.0 0.0
-76.0 0.0 0.0
-107.0 0.0 0.0
-110.0 0.0 0.0
-142.0 0.0 0.0
-217.0 0.0 0.0
-73.0 0.0 0.0
-98.0 0.0 0.0
-85.0 0.0 0.0
-248.0 0.0 0.0
-145.0 0.0 0.0
-126.0 0.0 0.0
-103.0 0.0 0.0
-167.0 0.0 0.0
-116.0 0.0 0.0
-162.0 0.0 0.0
-427.0 0.0 0.0
-137.0 0.0 0.0
-85.0 0.0 0.0
-160.0 0.0 0.0
-124.0 0.0 0.0
-158.0 0.0 0.0
-200.0 0.0 0.0
-113.0 0.0 0.0
-163.0 0.0 0.0
-33.0 0.0 0.0
-185.0 0.0 0.0
-149.0 0.0 0.0
-169.0 0.0 0.0
-172.0 0.0 0.0
-76.0 0.0 0.0
-100.0 0.0 0.0
-110.0 0.0 0.0
-125.0 0.0 0.0
-241.0 0.0 0.0
-85.0 0.0 0.0
-101.0 0.0 0.0
-386.0 0.0 0.0
-128.0 0.0 0.0
-93.0 0.0 0.0
-141.0 0.0 0.0
-149.0 0.0 0.0
-224.0 0.0 0.0
-165.0 0.0 0.0
-250.0 0.0 0.0
-181.0 0.0 0.0
-93.0 0.0 0.0
-101.0 0.0 0.0
-190.0 0.0 0.0
-113.0 0.0 0.0
-198.0 0.0 0.0
-201.0 0.0 0.0
-160.0 0.0 0.0
-192.0 0.0 0.0
-86.0 0.0 0.0
-424.0 0.0 0.0
-197.0 0.0 0.0
-134.0 0.0 0.0
-118.0 0.0 0.0
-177.0 0.0 0.0
-272.0 0.0 0.0
-136.0 0.0 0.0
-303.0 0.0 0.0
-188.0 0.0 0.0
-174.0 0.0 0.0
-114.0 0.0 0.0
-131.0 0.0 0.0
-126.0 0.0 0.0
-86.0 0.0 0.0
-122.0 0.0 0.0
-80.0 0.0 0.0
-19.0 0.0 0.0
-89.0 0.0 0.0
-164.0 0.0 0.0
-103.0 0.0 0.0
-94.0 0.0 0.0
-310.0 0.0 0.0
-479.0 0.0 0.0
-222.0 0.0 0.0
-515.0 0.0 0.0
-95.0 0.0 0.0
-174.0 0.0 0.0
-133.0 0.0 0.0
-127.0 0.0 0.0
-502.0 0.0 0.0
-73.0 0.0 0.0
-445.0 0.0 0.0
-217.0 0.0 0.0
-128.0 0.0 0.0
-91.0 0.0 0.0
-280.0 0.0 0.0
-1.0 0.0 0.0
-74.0 0.0 0.0
-271.0 0.0 0.0
-3.0 0.0 0.0
-348.0 0.0 0.0
-81.0 0.0 0.0
-186.0 0.0 0.0
-147.0 0.0 0.0
-130.0 0.0 0.0
-129.0 0.0 0.0
-158.0 0.0 0.0
-164.0 0.0 0.0
-100.0 0.0 0.0
-65.0 0.0 0.0
-36.0 0.0 0.0
-107.0 0.0 0.0
-85.0 0.0 0.0
-389.0 0.0 0.0
-95.0 0.0 0.0
-128.0 0.0 0.0
-206.0 0.0 0.0
-94.0 0.0 0.0
-20.0 0.0 0.0
-145.0 0.0 0.0
-47.0 0.0 0.0
-78.0 0.0 0.0
11.0 0.0 0.0
-97.0 0.0 0.0
-141.0 0.0 0.0
-54.0 0.0 0.0
-79.0 0.0 0.0
-55.0 0.0 0.0
-67.0 0.0 0.0
-61.0 0.0 0.0
-237.0 0.0 0.0
38.0 0.0 0.0
-91.0 0.0 0.0
-87.0 0.0 0.0
-46.0 0.0 0.0
-108.0 0.0 0.0
-224.0 0.0 0.0
-63.0 0.0 0.0
-59.0 0.0 0.0
-135.0 0.0 0.0
-13.0 0.0 0.0
-183.0 0.0 0.0
-83.0 0.0 0.0
-185.0 0.0 0.0
-39.0 0.0 0.0
-53.0 0.0 0.0
-179.0 0.0 0.0
-29.0 0.0 0.0
-188.0 0.0 0.0
-239.0 0.0 0.0
-240.0 0.0 0.0
-126.0 0.0 0.0
-111.0 0.0 0.0
-52.0 0.0 0.0
-66.0 0.0 0.0
-92.0 0.0 0.0
-175.0 0.0 0.0
-11.0 0.0 0.0
-121.0 0.0 0.0
-161.0 0.0 0.0
-277.0 0.0 0.0
-154.0 0.0 0.0
-62.0 0.0 0.0
-83.0 0.0 0.0
-295.0 0.0 0.0
-429.0 0.0 0.0
-156.0 0.0 0.0
-231.0 0.0 0.0
-151.0 0.0 0.0
-448.0 0.0 0.0
-102.0 0.0 0.0
-85.0 0.0 0.0
-73.0 0.0 0.0
-410.0 0.0 0.0
-166.0 0.0 0.0
-60.0 0.0 0.0
-25.0 0.0 0.0
-117.0 0.0 0.0
-123.0 0.0 0.0
-131.0 0.0 0.0
-371.0 0.0 0.0
-143.0 0.0 0.0
-655.0 0.0 0.0
-130.0 0.0 0.0
-95.0 0.0 0.0
-446.0 0.0 0.0
-710.0 0.0 0.0
-379.0 0.0 0.0
-649.0 0.0 0.0
-102.0 0.0 0.0
-146.0 0.0 0.0
-269.0 0.0 0.0
-574.0 0.0 0.0
-501.0 0.0 0.0
-464.0 0.0 0.0
-315.0 0.0 0.0
-685.0 0.0 0.0
-281.0 0.0 0.0
-664.0 0.0 0.0
-24.0 0.0 0.0
-568.0 0.0 0.0
-82.0 0.0 0.0
-284.0 0.0 0.0
-65.0 0.0 0.0
-28.0 0.0 0.0
-309.0 0.0 0.0
-664.0 0.0 0.0
-297.0 0.0 0.0
-104.0 0.0 0.0
-384.0 0.0 0.0
-173.0 0.0 0.0
-422.0 0.0 0.0
-193.0 0.0 0.0
-420.0 0.0 0.0
-246.0 0.0 0.0
-491.0 0.0 0.0
-314.0 0.0 0.0
-89.0 0.0 0.0
-104.0 0.0 0.0
-205.0 0.0 0.0
-219.0 0.0 0.0
-321.0 0.0 0.0
-107.0 0.0 0.0
-76.0 0.0 0.0
-33.0 0.0 0.0
-244.0 0.0 0.0
-351.0 0.0 0.0
-124.0 0.0 0.0
-633.0 0.0 0.0
-165.0 0.0 0.0
-98.0 0.0 0.0
-11.0 0.0 0.0
-75.0 0.0 0.0
-30.0 0.0 0.0
-364.0 0.0 0.0
-113.0 0.0 0.0
-180.0 0.0 0.0
-95.0 0.0 0.0
-44.0 0.0 0.0
-285.0 0.0 0.0
-130.0 0.0 0.0
-208.0 0.0 0.0
-65.0 0.0 0.0
-237.0 0.0 0.0
-31.0 0.0 0.0
-112.0 0.0 0.0
-48.0 0.0 0.0
-89.0 0.0 0.0
-132.0 0.0 0.0
-250.0 0.0 0.0
-67.0 0.0 0.0
-564.0 0.0 0.0
-105.0 0.0 0.0
-186.0 0.0 0.0
-104.0 0.0 0.0
-71.0 0.0 0.0
-330.0 0.0 0.0
-87.0 0.0 0.0
-104.0 0.0 0.0
-168.0 0.0 0.0
-118.0 0.0 0.0
-85.0 0.0 0.0
-201.0 0.0 0.0
-155.0 0.0 0.0
-162.0 0.0 0.0
-102.0 0.0 0.0
-76.0 0.0 0.0
-159.0 0.0 0.0
-140.0 0.0 0.0
-69.0 0.0 0.0
-608.0 0.0 0.0
-181.0 0.0 0.0
-122.0 0.0 0.0
-121.0 0.0 0.0
-159.0 0.0 0.0
-97.0 0.0 0.0
-146.0 0.0 0.0
-563.0 0.0 0.0
-115.0 0.0 0.0
-57.0 0.0 0.0
-167.0 0.0 0.0
-196.0 0.0 0.0
-126.0 0.0 0.0
-58.0 0.0 0.0
-413.0 0.0 0.0
-76.0 0.0 0.0
-120.0 0.0 0.0
-156.0 0.0 0.0
-189.0 0.0 0.0
-133.0 0.0 0.0
-130.0 0.0 0.0
-100.0 0.0 0.0
-130.0 0.0 0.0
-192.0 0.0 0.0
-62.0 0.0 0.0
-184.0 0.0 0.0
-45.0 0.0 0.0
-81.0 0.0 0.0
-117.0 0.0 0.0
-193.0 0.0 0.0
-137.0 0.0 0.0
-125.0 0.0 0.0
-41.0 0.0 0.0
-141.0 0.0 0.0
-93.0 0.0 0.0
-80.0 0.0 0.0
-116.0 0.0 0.0
-95.0 0.0 0.0
-195.0 0.0 0.0
-117.0 0.0 0.0
-164.0 0.0 0.0
-42.0 0.0 0.0
-145.0 0.0 0.0
-175.0 0.0 0.0
-458.0 0.0 0.0
-147.0 0.0 0.0
-140.0 0.0 0.0
-87.0 0.0 0.0
-90.0 0.0 0.0
-41.0 0.0 0.0
-129.0 0.0 0.0
-101.0 0.0 0.0
-64.0 0.0 0.0
-35.0 0.0 0.0
-111.0 0.0 0.0
-151.0 0.0 0.0
-52.0 0.0 0.0
-73.0 0.0 0.0
-167.0 0.0 0.0
-137.0 0.0 0.0
-131.0 0.0 0.0
-187.0 0.0 0.0
-67.0 0.0 0.0
-102.0 0.0 0.0
-111.0 0.0 0.0
-141.0 0.0 0.0
-106.0 0.0 0.0
-99.0 0.0 0.0
-77.0 0.0 0.0
-94.0 0.0 0.0
-136.0 0.0 0.0
-71.0 0.0 0.0
-146.0 0.0 0.0
-278.0 0.0 0.0
-159.0 0.0 0.0
-151.0 0.0 0.0
-168.0 0.0 0.0
-194.0 0.0 0.0
-180.0 0.0 0.0
-152.0 0.0 0.0
-130.0 0.0 0.0
-122.0 0.0 0.0
-116.0 0.0 0.0
-213.0 0.0 0.0
-175.0 0.0 0.0
-147.0 0.0 0.0
65.0 0.0 0.0
-219.0 0.0 0.0
-194.0 0.0 0.0
-203.0 0.0 0.0
-309.0 0.0 0.0
-138.0 0.0 0.0
-210.0 0.0 0.0
-152.0 0.0 0.0
-136.0 0.0 0.0
102.0 0.0 0.0
-295.0 0.0 0.0
-16.0 0.0 0.0
-254.0 0.0 0.0
-167.0 0.0 0.0
-371.0 0.0 0.0
-136.0 0.0 0.0
-413.0 0.0 0.0
-36.0 0.0 0.0
-214.0 0.0 0.0
-98.0 0.0 0.0
-86.0 0.0 0.0
-210.0 0.0 0.0
-118.0 0.0 0.0
-172.0 0.0 0.0
-105.0 0.0 0.0
-67.0 0.0 0.0
-140.0 0.0 0.0
-180.0 0.0 0.0
-161.0 0.0 0.0
-157.0 0.0 0.0
-118.0 0.0 0.0
-120.0 0.0 0.0
-180.0 0.0 0.0
-74.0 0.0 0.0
-63.0 0.0 0.0
-199.0 0.0 0.0
-46.0 0.0 0.0
-121.0 0.0 0.0
-128.0 0.0 0.0
-80.0 0.0 0.0
-48.0 0.0 0.0
-76.0 0.0 0.0
-226.0 0.0 0.0
-391.0 0.0 0.0
-203.0 0.0 0.0
-100.0 0.0 0.0
-279.0 0.0 0.0
-363.0 0.0 0.0
-669.0 0.0 0.0
-204.0 0.0 0.0
-715.0 0.0 0.0
-70.0 0.0 0.0
-733.0 0.0 0.0
-441.0 0.0 0.0
-446.0 0.0 0.0
-84.0 0.0 0.0
-452.0 0.0 0.0
-251.0 0.0 0.0
-182.0 0.0 0.0
-48.0 0.0 0.0
-217.0 0.0 0.0
-140.0 0.0 0.0
-103.0 0.0 0.0
-162.0 0.0 0.0
-204.0 0.0 0.0
-74.0 0.0 0.0
-229.0 0.0 0.0
-248.0 0.0 0.0
-146.0 0.0 0.0
-249.0 0.0 0.0
-147.0 0.0 0.0
-91.0 0.0 0.0
-266.0 0.0 0.0
-105.0 0.0 0.0
-125.0 0.0 0.0
-262.0 0.0 0.0
-152.0 0.0 0.0
-68.0 0.0 0.0
-203.0 0.0 0.0
-106.0 0.0 0.0
-134.0 0.0 0.0
-76.0 0.0 0.0
-71.0 0.0 0.0
-163.0 0.0 0.0
-474.0 0.0 0.0
-142.0 0.0 0.0
-143.0 0.0 0.0
-75.0 0.0 0.0
-106.0 0.0 0.0
-250.0 0.0 0.0
-99.0 0.0 0.0
-191.0 0.0 0.0
-82.0 0.0 0.0
-113.0 0.0 0.0
-84.0 0.0 0.0
-170.0 0.0 0.0
-91.0 0.0 0.0
-24.0 0.0 0.0
-115.0 0.0 0.0
-94.0 0.0 0.0
-248.0 0.0 0.0
-253.0 0.0 0.0
-64.0 0.0 0.0
-21.0 0.0 0.0
-80.0 0.0 0.0
-168.0 0.0 0.0
-146.0 0.0 0.0
-96.0 0.0 0.0
-77.0 0.0 0.0
-150.0 0.0 0.0
-92.0 0.0 0.0
-102.0 0.0 0.0
-137.0 0.0 0.0
-44.0 0.0 0.0
-94.0 0.0 0.0
137.0 0.0 0.0
-110.0 0.0 0.0
-163.0 0.0 0.0
-135.0 0.0 0.0
-224.0 0.0 0.0
-167.0 0.0 0.0
-179.0 0.0 0.0
-88.0 0.0 0.0
-136.0 0.0 0.0
-179.0 0.0 0.0
-89.0 0.0 0.0
-118.0 0.0 0.0
-118.0 0.0 0.0
-132.0 0.0 0.0
-102.0 0.0 0.0
-141.0 0.0 0.0
-139.0 0.0 0.0
-135.0 0.0 0.0
-107.0 0.0 0.0
-104.0 0.0 0.0
-143.0 0.0 0.0
-121.0 0.0 0.0
-149.0 0.0 0.0
-143.0 0.0 0.0
-171.0 0.0 0.0
-254.0 0.0 0.0
-269.0 0.0 0.0
-119.0 0.0 0.0
-154.0 0.0 0.0
-136.0 0.0 0.0
-189.0 0.0 0.0
-112.0 0.0 0.0
-97.0 0.0 0.0
-171.0 0.0 0.0
-154.0 0.0 0.0
-118.0 0.0 0.0
-80.0 0.0 0.0
-173.0 0.0 0.0
-335.0 0.0 0.0
-108.0 0.0 0.0
-165.0 0.0 0.0
-203.0 0.0 0.0
-144.0 0.0 0.0
-170.0 0.0 0.0
-153.0 0.0 0.0
-114.0 0.0 0.0
-157.0 0.0 0.0
-149.0 0.0 0.0
-111.0 0.0 0.0
27.0 0.0 0.0
-94.0 0.0 0.0
-98.0 0.0 0.0
-146.0 0.0 0.0
-177.0 0.0 0.0
-135.0 0.0 0.0
-155.0 0.0 0.0
-63.0 0.0 0.0
-78.0 0.0 0.0
-154.0 0.0 0.0
-151.0 0.0 0.0
-136.0 0.0 0.0
-117.0 0.0 0.0
-296.0 0.0 0.0
-386.0 0.0 0.0
-142.0 0.0 0.0
35.0 0.0 0.0
8.0 0.0 0.0
-151.0 0.0 0.0
-168.0 0.0 0.0
-192.0 0.0 0.0
-139.0 0.0 0.0
-96.0 0.0 0.0
-50.0 0.0 0.0
-291.0 0.0 0.0
-81.0 0.0 0.0
-53.0 0.0 0.0
-208.0 0.0 0.0
71.0 0.0 0.0
-120.0 0.0 0.0
-111.0 0.0 0.0
-159.0 0.0 0.0
-62.0 0.0 0.0
-112.0 0.0 0.0
-101.0 0.0 0.0
-137.0 0.0 0.0
-140.0 0.0 0.0
-152.0 0.0 0.0
-160.0 0.0 0.0
-374.0 0.0 0.0
-76.0 0.0 0.0
-41.0 0.0 0.0
-128.0 0.0 0.0
-116.0 0.0 0.0
-99.0 0.0 0.0
-552.0 0.0 0.0
-523.0 0.0 0.0
-429.0 0.0 0.0
-84.0 0.0 0.0
-168.0 0.0 0.0
-74.0 0.0 0.0
-125.0 0.0 0.0
274.0 0.0 0.0
-491.0 0.0 0.0
-107.0 0.0 0.0
-101.0 0.0 0.0
-100.0 0.0 0.0
-42.0 0.0 0.0
-177.0 0.0 0.0
-332.0 0.0 0.0
-52.0 0.0 0.0
-87.0 0.0 0.0
-90.0 0.0 0.0
-55.0 0.0 0.0
-436.0 0.0 0.0
-558.0 0.0 0.0
-129.0 0.0 0.0
-203.0 0.0 0.0
-95.0 0.0 0.0
-150.0 0.0 0.0
-122.0 0.0 0.0
-91.0 0.0 0.0
-616.0 0.0 0.0
-560.0 0.0 0.0
-113.0 0.0 0.0
-174.0 0.0 0.0
-118.0 0.0 0.0
-172.0 0.0 0.0
-176.0 0.0 0.0
-137.0 0.0 0.0
-378.0 0.0 0.0
-136.0 0.0 0.0
-179.0 0.0 0.0
-124.0 0.0 0.0
-81.0 0.0 0.0
-170.0 0.0 0.0
-35.0 0.0 0.0
-97.0 0.0 0.0
-98.0 0.0 0.0
-322.0 0.0 0.0
-93.0 0.0 0.0
38.0 0.0 0.0
-352.0 0.0 0.0
-127.0 0.0 0.0
-75.0 0.0 0.0
-196.0 0.0 0.0
-130.0 0.0 0.0
-82.0 0.0 0.0
-483.0 0.0 0.0
-450.0 0.0 0.0
-124.0 0.0 0.0
-183.0 0.0 0.0
-75.0 0.0 0.0
-74.0 0.0 0.0
-170.0 0.0 0.0
-137.0 0.0 0.0
-62.0 0.0 0.0
-224.0 0.0 0.0
-480.0 0.0 0.0
-452.0 0.0 0.0
-139.0 0.0 0.0
-168.0 0.0 0.0
-106.0 0.0 0.0
-219.0 0.0 0.0
-158.0 0.0 0.0
-139.0 0.0 0.0
-203.0 0.0 0.0
-176.0 0.0 0.0
-181.0 0.0 0.0
-138.0 0.0 0.0
-166.0 0.0 0.0
-121.0 0.0 0.0
-698.0 0.0 0.0
-113.0 0.0 0.0
-96.0 0.0 0.0
-115.0 0.0 0.0
-132.0 0.0 0.0
-131.0 0.0 0.0
-197.0 0.0 0.0
-144.0 0.0 0.0
-124.0 0.0 0.0
-262.0 0.0 0.0
-656.0 0.0 0.0
-75.0 0.0 0.0
-171.0 0.0 0.0
-178.0 0.0 0.0
-108.0 0.0 0.0
-96.0 0.0 0.0
-87.0 0.0 0.0
-148.0 0.0 0.0
-212.0 0.0 0.0
-297.0 0.0 0.0
-334.0 0.0 0.0
-100.0 0.0 0.0
-91.0 0.0 0.0
-542.0 0.0 0.0
-133.0 0.0 0.0
-147.0 0.0 0.0
-170.0 0.0 0.0
-178.0 0.0 0.0
-243.0 0.0 0.0
-139.0 0.0 0.0
-104.0 0.0 0.0
-132.0 0.0 0.0
-178.0 0.0 0.0
-138.0 0.0 0.0
-151.0 0.0 0.0
-373.0 0.0 0.0
-167.0 0.0 0.0
-162.0 0.0 0.0
-133.0 0.0 0.0
-97.0 0.0 0.0
-72.0 0.0 0.0
-464.0 0.0 0.0
-112.0 0.0 0.0
-152.0 0.0 0.0
-150.0 0.0 0.0
-143.0 0.0 0.0
-188.0 0.0 0.0
-129.0 0.0 0.0
-186.0 0.0 0.0
-199.0 0.0 0.0
-356.0 0.0 0.0
-73.0 0.0 0.0
-99.0 0.0 0.0
-143.0 0.0 0.0
-461.0 0.0 0.0
-150.0 0.0 0.0
-99.0 0.0 0.0
-97.0 0.0 0.0
-132.0 0.0 0.0
-140.0 0.0 0.0
-78.0 0.0 0.0
-127.0 0.0 0.0
-182.0 0.0 0.0
-67.0 0.0 0.0
-80.0 0.0 0.0
-97.0 0.0 0.0
-165.0 0.0 0.0
-126.0 0.0 0.0
-111.0 0.0 0.0
-166.0 0.0 0.0
-104.0 0.0 0.0
-182.0 0.0 0.0
-206.0 0.0 0.0
-54.0 0.0 0.0
-631.0 0.0 0.0
-133.0 0.0 0.0
-145.0 0.0 0.0
-84.0 0.0 0.0
-153.0 0.0 0.0
-182.0 0.0 0.0
-78.0 0.0 0.0
-109.0 0.0 0.0
-165.0 0.0 0.0
-156.0 0.0 0.0
-101.0 0.0 0.0
-155.0 0.0 0.0
-170.0 0.0 0.0
-147.0 0.0 0.0
-143.0 0.0 0.0
-190.0 0.0 0.0
-773.0 0.0 0.0
-141.0 0.0 0.0
-158.0 0.0 0.0
-193.0 0.0 0.0
-127.0 0.0 0.0
-120.0 0.0 0.0
-128.0 0.0 0.0
-170.0 0.0 0.0
-119.0 0.0 0.0
-131.0 0.0 0.0
-148.0 0.0 0.0
-121.0 0.0 0.0
-145.0 0.0 0.0
-110.0 0.0 0.0
-118.0 0.0 0.0
-82.0 0.0 0.0
-120.0 0.0 0.0
-188.0 0.0 0.0
-165.0 0.0 0.0
-118.0 0.0 0.0
-130.0 0.0 0.0
-144.0 0.0 0.0
-158.0 0.0 0.0
-165.0 0.0 0.0
-195.0 0.0 0.0
-141.0 0.0 0.0
-173.0 0.0 0.0
-199.0 0.0 0.0
-115.0 0.0 0.0
-152.0 0.0 0.0
-180.0 0.0 0.0
-141.0 0.0 0.0
-130.0 0.0 0.0
-193.0 0.0 0.0
-153.0 0.0 0.0
-140.0 0.0 0.0
-138.0 0.0 0.0
-140.0 0.0 0.0
-10.0 0.0 0.0
-428.0 0.0 0.0
82.0 0.0 0.0
-3.0 0.0 0.0
98.0 0.0 0.0
-150.0 0.0 0.0
-330.0 0.0 0.0
-537.0 0.0 0.0
-558.0 0.0 0.0
-35.0 0.0 0.0
-128.0 0.0 0.0
-176.0 0.0 0.0
-339.0 0.0 0.0
-254.0 0.0 0.0
-147.0 0.0 0.0
-99.0 0.0 0.0
-275.0 0.0 0.0
-295.0 0.0 0.0
-87.0 0.0 0.0
-114.0 0.0 0.0
-107.0 0.0 0.0
-169.0 0.0 0.0
-79.0 0.0 0.0
-68.0 0.0 0.0
-180.0 0.0 0.0
-146.0 0.0 0.0
-52.0 0.0 0.0
-140.0 0.0 0.0
-193.0 0.0 0.0
-33.0 0.0 0.0
-101.0 0.0 0.0
-103.0 0.0 0.0
-70.0 0.0 0.0
-59.0 0.0 0.0
-301.0 0.0 0.0
-271.0 0.0 0.0
-510.0 0.0 0.0
-243.0 0.0 0.0
-201.0 0.0 0.0
-132.0 0.0 0.0
-107.0 0.0 0.0
-525.0 0.0 0.0
49.0 0.0 0.0
-79.0 0.0 0.0
-89.0 0.0 0.0
-254.0 0.0 0.0
-238.0 0.0 0.0
-63.0 0.0 0.0
-306.0 0.0 0.0
-706.0 0.0 0.0
-106.0 0.0 0.0
-556.0 0.0 0.0
-302.0 0.0 0.0
-153.0 0.0 0.0
-537.0 0.0 0.0
-589.0 0.0 0.0
-630.0 0.0 0.0
-122.0 0.0 0.0
-378.0 0.0 0.0
-418.0 0.0 0.0
-266.0 0.0 0.0
-125.0 0.0 0.0
-103.0 0.0 0.0
-340.0 0.0 0.0
-91.0 0.0 0.0
-158.0 0.0 0.0
-443.0 0.0 0.0
-109.0 0.0 0.0
-100.0 0.0 0.0
-100.0 0.0 0.0
-271.0 0.0 0.0
-20.0 0.0 0.0
-322.0 0.0 0.0
-54.0 0.0 0.0
-114.0 0.0 0.0
-109.0 0.0 0.0
-155.0 0.0 0.0
-75.0 0.0 0.0
-138.0 0.0 0.0
-103.0 0.0 0.0
-140.0 0.0 0.0
-148.0 0.0 0.0
